n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,B,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,A,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,F,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,G,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,G,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,G,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,D,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,D,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,C,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,M,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,M,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,S,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,S,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,T,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,U,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,P,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,K,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,D,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,D,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,G,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,E,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,G,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,D,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,F,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,A,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,A,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,A,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,A,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,A,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,B,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,F,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,E,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,I,-1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,G,1
2,9x9_4,hillclimber,9,13081.812157,90,72527,1,72528,I,-1
