n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
1,9x9_6,random,9,3.12337,2375,2375,1,,A,1
2,9x9_6,random,9,14.540716,11562,11562,1,,A,1
3,9x9_6,random,9,102.634478,79634,79634,1,,A,1
4,9x9_6,random,9,24.313691,18038,18038,1,,A,1
5,9x9_6,random,9,4.669515,3047,3047,1,,A,1
6,9x9_6,random,9,77.079283,59018,59018,1,,A,1
7,9x9_6,random,9,22.912791,15929,15929,1,,A,1
8,9x9_6,random,9,38.592741,29324,29324,1,,A,1
9,9x9_6,random,9,41.876115,30981,30981,1,,A,1
10,9x9_6,random,9,67.068483,47201,47201,1,,A,1
11,9x9_6,random,9,24.794599,16308,16308,1,,A,1
12,9x9_6,random,9,91.434314,65827,65827,1,,A,1
13,9x9_6,random,9,54.365864,36101,36101,1,,A,1
14,9x9_6,random,9,42.421789,27496,27496,1,,A,1
15,9x9_6,random,9,97.457578,70564,70564,1,,A,1
16,9x9_6,random,9,34.19111,23099,23099,1,,A,1
17,9x9_6,random,9,27.573578,17929,17929,1,,A,1
18,9x9_6,random,9,12.537976,7544,7544,1,,A,1
19,9x9_6,random,9,63.515609,40241,40241,1,,A,1
20,9x9_6,random,9,5.050412,2874,2874,1,,A,1
21,9x9_6,random,9,75.930825,54167,54167,1,,A,1
22,9x9_6,random,9,163.678427,106605,106605,1,,A,1
23,9x9_6,random,9,129.259494,84977,84977,1,,A,1
24,9x9_6,random,9,100.032209,67806,67806,1,,A,1
25,9x9_6,random,9,79.686253,51680,51680,1,,A,1
26,9x9_6,random,9,7.875417,4539,4539,1,,A,1
27,9x9_6,random,9,82.601436,53909,53909,1,,A,1
28,9x9_6,random,9,12.926869,8472,8472,1,,A,1
29,9x9_6,random,9,29.122477,20791,20791,1,,A,1
30,9x9_6,random,9,17.872291,11728,11728,1,,A,1
31,9x9_6,random,9,8.113818,5068,5068,1,,A,1
32,9x9_6,random,9,200.586396,134895,134895,1,,A,1
33,9x9_6,random,9,30.020102,19705,19705,1,,A,1
34,9x9_6,random,9,34.387848,22331,22331,1,,A,1
35,9x9_6,random,9,20.351004,12786,12786,1,,A,1
36,9x9_6,random,9,65.131505,42461,42461,1,,A,1
37,9x9_6,random,9,20.725965,14172,14172,1,,A,1
38,9x9_6,random,9,38.617172,27295,27295,1,,A,1
39,9x9_6,random,9,53.280696,35075,35075,1,,A,1
40,9x9_6,random,9,32.469604,21222,21222,1,,A,1
41,9x9_6,random,9,36.673094,24392,24392,1,,A,1
42,9x9_6,random,9,88.256572,61415,61415,1,,A,1
43,9x9_6,random,9,122.674084,82976,82976,1,,A,1
44,9x9_6,random,9,92.434087,62103,62103,1,,A,1
45,9x9_6,random,9,196.827868,133192,133192,1,,A,1
46,9x9_6,random,9,86.321737,58401,58401,1,,A,1
47,9x9_6,random,9,142.205824,97484,97484,1,,A,1
48,9x9_6,random,9,77.58031,52230,52230,1,,A,1
49,9x9_6,random,9,23.419584,16689,16689,1,,A,1
50,9x9_6,random,9,123.596332,82938,82938,1,,A,1
51,9x9_6,random,9,28.405174,18281,18281,1,,A,1
52,9x9_6,random,9,70.748099,49132,49132,1,,A,1
53,9x9_6,random,9,75.557457,50184,50184,1,,A,1
54,9x9_6,random,9,335.693458,221615,221615,1,,A,1
55,9x9_6,random,9,12.068914,7695,7695,1,,A,1
56,9x9_6,random,9,155.331223,104386,104386,1,,A,1
