n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
1,9x9_4,random,9,28.844776,24090,24090,1,,A,1
2,9x9_4,random,9,35.83924,23968,23968,1,,A,1
3,9x9_4,random,9,155.46342,100941,100941,1,,A,1
4,9x9_4,random,9,107.387194,69232,69232,1,,A,1
5,9x9_4,random,9,24.105909,15515,15515,1,,A,1
6,9x9_4,random,9,98.616311,63774,63774,1,,A,1
7,9x9_4,random,9,175.803335,113604,113604,1,,A,1
8,9x9_4,random,9,84.219055,54574,54574,1,,A,1
9,9x9_4,random,9,19.219785,12428,12428,1,,A,1
10,9x9_4,random,9,37.354647,23999,23999,1,,A,1
11,9x9_4,random,9,50.522682,32906,32906,1,,A,1
12,9x9_4,random,9,54.674092,35094,35094,1,,A,1
13,9x9_4,random,9,404.703208,262808,262808,1,,A,1
14,9x9_4,random,9,56.735544,37274,37274,1,,A,1
15,9x9_4,random,9,81.640553,52840,52840,1,,A,1
16,9x9_4,random,9,30.959229,19873,19873,1,,A,1
17,9x9_4,random,9,32.774358,21091,21091,1,,A,1
18,9x9_4,random,9,59.963269,38927,38927,1,,A,1
19,9x9_4,random,9,181.101414,117940,117940,1,,A,1
20,9x9_4,random,9,148.779918,97126,97126,1,,A,1
21,9x9_4,random,9,47.45794,30884,30884,1,,A,1
22,9x9_4,random,9,122.240552,78569,78569,1,,A,1
23,9x9_4,random,9,85.711304,55155,55155,1,,A,1
24,9x9_4,random,9,222.029704,143113,143113,1,,A,1
25,9x9_4,random,9,170.443818,108989,108989,1,,A,1
26,9x9_4,random,9,138.221203,90290,90290,1,,A,1
27,9x9_4,random,9,38.596416,25465,25465,1,,A,1
28,9x9_4,random,9,63.89081,41633,41633,1,,A,1
29,9x9_4,random,9,99.521253,64894,64894,1,,A,1
30,9x9_4,random,9,35.318948,23021,23021,1,,A,1
31,9x9_4,random,9,74.121668,48117,48117,1,,A,1
32,9x9_4,random,9,95.87139,62716,62716,1,,A,1
33,9x9_4,random,9,62.654342,41379,41379,1,,A,1
34,9x9_4,random,9,142.212518,92234,92234,1,,A,1
35,9x9_4,random,9,180.302922,116327,116327,1,,A,1
36,9x9_4,random,9,238.786881,155315,155315,1,,A,1
37,9x9_4,random,9,80.877973,52987,52987,1,,A,1
38,9x9_4,random,9,159.967828,103693,103693,1,,A,1
39,9x9_4,random,9,228.832367,149250,149250,1,,A,1
40,9x9_4,random,9,396.41508,257463,257463,1,,A,1
41,9x9_4,random,9,130.234897,84609,84609,1,,A,1
42,9x9_4,random,9,78.534477,51277,51277,1,,A,1
43,9x9_4,random,9,88.805621,57517,57517,1,,A,1
44,9x9_4,random,9,113.033513,72949,72949,1,,A,1
45,9x9_4,random,9,44.171,28943,28943,1,,A,1
46,9x9_4,random,9,78.137988,50502,50502,1,,A,1
47,9x9_4,random,9,43.120229,28401,28401,1,,A,1
48,9x9_4,random,9,36.482869,23565,23565,1,,A,1
49,9x9_4,random,9,109.725754,71260,71260,1,,A,1
50,9x9_4,random,9,153.610053,100149,100149,1,,A,1
51,9x9_4,random,9,24.174913,15919,15919,1,,A,1
52,9x9_4,random,9,98.074289,63641,63641,1,,A,1
53,9x9_4,random,9,69.430546,45020,45020,1,,A,1
54,9x9_4,random,9,38.585328,24917,24917,1,,A,1
55,9x9_4,random,9,29.60382,19179,19179,1,,A,1
56,9x9_4,random,9,104.247716,67688,67688,1,,A,1
57,9x9_4,random,9,14.718379,9831,9831,1,,A,1
58,9x9_4,random,9,133.212364,86467,86467,1,,A,1
59,9x9_4,random,9,72.720627,47030,47030,1,,A,1
60,9x9_4,random,9,61.533753,40324,40324,1,,A,1
