n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
1,6x6_1,random,6,37.782846,48526,48526,1,,A,1
2,6x6_1,random,6,13.463548,11198,11198,1,,A,1
3,6x6_1,random,6,57.384136,52676,52676,1,,A,1
4,6x6_1,random,6,12.583471,10157,10157,1,,A,1
5,6x6_1,random,6,67.349678,57223,57223,1,,A,1
6,6x6_1,random,6,83.498274,79115,79115,1,,A,1
7,6x6_1,random,6,3.277855,2140,2140,1,,A,1
8,6x6_1,random,6,12.339299,10521,10521,1,,A,1
9,6x6_1,random,6,31.751111,28712,28712,1,,A,1
10,6x6_1,random,6,20.943115,19568,19568,1,,A,1
11,6x6_1,random,6,3.742546,3507,3507,1,,A,1
12,6x6_1,random,6,26.051038,24307,24307,1,,A,1
13,6x6_1,random,6,1.210325,1103,1103,1,,A,1
14,6x6_1,random,6,15.006522,14651,14651,1,,A,1
15,6x6_1,random,6,45.737604,46130,46130,1,,A,1
16,6x6_1,random,6,20.202747,20517,20517,1,,A,1
17,6x6_1,random,6,11.549732,11469,11469,1,,A,1
18,6x6_1,random,6,60.950522,61268,61268,1,,A,1
19,6x6_1,random,6,19.829862,19606,19606,1,,A,1
20,6x6_1,random,6,7.266406,7094,7094,1,,A,1
21,6x6_1,random,6,3.719218,3496,3496,1,,A,1
22,6x6_1,random,6,11.841625,11720,11720,1,,A,1
23,6x6_1,random,6,36.487975,37313,37313,1,,A,1
24,6x6_1,random,6,8.137709,7906,7906,1,,A,1
25,6x6_1,random,6,7.699898,7756,7756,1,,A,1
26,6x6_1,random,6,37.55082,37878,37878,1,,A,1
27,6x6_1,random,6,3.345943,3344,3344,1,,A,1
28,6x6_1,random,6,32.391577,32381,32381,1,,A,1
29,6x6_1,random,6,1.378785,1278,1278,1,,A,1
30,6x6_1,random,6,9.710212,9359,9359,1,,A,1
31,6x6_1,random,6,0.994352,928,928,1,,A,1
32,6x6_1,random,6,17.201429,16991,16991,1,,A,1
33,6x6_1,random,6,62.582396,62831,62831,1,,A,1
34,6x6_1,random,6,13.00078,13134,13134,1,,A,1
35,6x6_1,random,6,11.524225,11146,11146,1,,A,1
36,6x6_1,random,6,2.722847,2729,2729,1,,A,1
37,6x6_1,random,6,34.845662,34283,34283,1,,A,1
38,6x6_1,random,6,10.728815,10767,10767,1,,A,1
39,6x6_1,random,6,84.998227,84499,84499,1,,A,1
40,6x6_1,random,6,71.284664,70039,70039,1,,A,1
41,6x6_1,random,6,12.325642,11812,11812,1,,A,1
42,6x6_1,random,6,32.29651,31490,31490,1,,A,1
43,6x6_1,random,6,2.855242,2717,2717,1,,A,1
44,6x6_1,random,6,1.077837,1006,1006,1,,A,1
45,6x6_1,random,6,31.075386,30872,30872,1,,A,1
46,6x6_1,random,6,25.054716,25140,25140,1,,A,1
47,6x6_1,random,6,11.640061,11785,11785,1,,A,1
48,6x6_1,random,6,6.557378,6829,6829,1,,A,1
49,6x6_1,random,6,22.342099,22539,22539,1,,A,1
50,6x6_1,random,6,32.772766,32572,32572,1,,A,1
51,6x6_1,random,6,66.004306,65678,65678,1,,A,1
52,6x6_1,random,6,64.454215,64900,64900,1,,A,1
53,6x6_1,random,6,8.838742,9037,9037,1,,A,1
54,6x6_1,random,6,31.124732,30546,30546,1,,A,1
55,6x6_1,random,6,8.620864,8391,8391,1,,A,1
56,6x6_1,random,6,3.009234,2993,2993,1,,A,1
57,6x6_1,random,6,29.734521,29909,29909,1,,A,1
58,6x6_1,random,6,21.856,21729,21729,1,,A,1
59,6x6_1,random,6,60.540573,60746,60746,1,,A,1
60,6x6_1,random,6,0.493564,467,467,1,,A,1
61,6x6_1,random,6,39.291636,39621,39621,1,,A,1
62,6x6_1,random,6,22.662376,22833,22833,1,,A,1
63,6x6_1,random,6,52.787193,53750,53750,1,,A,1
64,6x6_1,random,6,6.985252,6972,6972,1,,A,1
65,6x6_1,random,6,123.192638,122429,122429,1,,A,1
66,6x6_1,random,6,73.563467,73815,73815,1,,A,1
67,6x6_1,random,6,7.039601,6722,6722,1,,A,1
68,6x6_1,random,6,70.296276,70290,70290,1,,A,1
69,6x6_1,random,6,90.01254,90272,90272,1,,A,1
70,6x6_1,random,6,17.054333,16850,16850,1,,A,1
71,6x6_1,random,6,9.854704,9717,9717,1,,A,1
72,6x6_1,random,6,73.256741,73058,73058,1,,A,1
73,6x6_1,random,6,3.330188,3280,3280,1,,A,1
74,6x6_1,random,6,14.351933,14396,14396,1,,A,1
75,6x6_1,random,6,50.076253,50428,50428,1,,A,1
76,6x6_1,random,6,15.654909,15702,15702,1,,A,1
77,6x6_1,random,6,4.478755,4599,4599,1,,A,1
78,6x6_1,random,6,22.584366,22620,22620,1,,A,1
79,6x6_1,random,6,6.305383,6145,6145,1,,A,1
80,6x6_1,random,6,22.128292,22238,22238,1,,A,1
81,6x6_1,random,6,25.784312,25846,25846,1,,A,1
82,6x6_1,random,6,20.050202,20257,20257,1,,A,1
83,6x6_1,random,6,29.124053,29073,29073,1,,A,1
84,6x6_1,random,6,26.511608,26375,26375,1,,A,1
85,6x6_1,random,6,19.11131,18937,18937,1,,A,1
86,6x6_1,random,6,57.999138,57992,57992,1,,A,1
87,6x6_1,random,6,48.757464,48531,48531,1,,A,1
88,6x6_1,random,6,30.622872,30582,30582,1,,A,1
89,6x6_1,random,6,29.373642,29874,29874,1,,A,1
