n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
1,6x6_2,random,6,2.834026,1521,1521,1,,C,-1
2,6x6_2,random,6,6.084561,2230,2230,1,,A,-1
3,6x6_2,random,6,0.782418,681,681,1,,X,-1
4,6x6_2,random,6,0.958637,823,823,1,,X,-1
5,6x6_2,random,6,0.532032,569,569,1,,A,-1
6,6x6_2,random,6,4.244123,1902,1902,1,,A,-1
7,6x6_2,random,6,0.603152,597,597,1,,X,-1
8,6x6_2,random,6,1.280003,966,966,1,,X,-1
9,6x6_2,random,6,14.808548,3736,3736,1,,C,-1
10,6x6_2,random,6,4.32685,1905,1905,1,,C,-1
11,6x6_2,random,6,0.475977,497,497,1,,A,-1
12,6x6_2,random,6,6.492102,2387,2387,1,,A,-1
13,6x6_2,random,6,1.367826,978,978,1,,A,-1
14,6x6_2,random,6,38.04661,5116,5116,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,-1
16,6x6_2,random,6,0.999469,835,835,1,,A,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
18,6x6_2,random,6,7.598303,2600,2600,1,,C,-1
19,6x6_2,random,6,4.333468,1871,1871,1,,A,-1
20,6x6_2,random,6,42.262524,6049,6049,1,,X,-1
21,6x6_2,random,6,1.260855,544,544,1,,X,-1
22,6x6_2,random,6,7.154938,1653,1653,1,,X,-1
23,6x6_2,random,6,0.80072,679,679,1,,X,-1
24,6x6_2,random,6,53.064048,7075,7075,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
26,6x6_2,random,6,0.138583,171,171,1,,C,-1
27,6x6_2,random,6,0.516663,475,475,1,,A,-1
28,6x6_2,random,6,9.586914,2841,2841,1,,A,-1
29,6x6_2,random,6,2.863038,1409,1409,1,,C,-1
30,6x6_2,random,6,4.193867,1746,1746,1,,C,-1
31,6x6_2,random,6,2.196436,1211,1211,1,,A,-1
32,6x6_2,random,6,0.529848,493,493,1,,A,-1
33,6x6_2,random,6,2.246876,1213,1213,1,,C,-1
34,6x6_2,random,6,6.68346,2327,2327,1,,X,-1
35,6x6_2,random,6,5.230297,2015,2015,1,,C,-1
36,6x6_2,random,6,2.974597,1460,1460,1,,A,-1
37,6x6_2,random,6,10.638246,2984,2984,1,,X,-1
38,6x6_2,random,6,2.979338,1450,1450,1,,C,-1
39,6x6_2,random,6,80.18434,8612,8612,1,,A,-1
40,6x6_2,random,6,21.580361,4336,4336,1,,X,-1
41,6x6_2,random,6,13.00732,3319,3319,1,,A,-1
42,6x6_2,random,6,0.243353,245,245,1,,A,-1
43,6x6_2,random,6,0.900768,678,678,1,,X,-1
44,6x6_2,random,6,1.225128,800,800,1,,A,-1
45,6x6_2,random,6,19.276626,4167,4167,1,,X,-1
46,6x6_2,random,6,19.367435,4126,4126,1,,X,-1
47,6x6_2,random,6,1.674116,988,988,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,C,-1
49,6x6_2,random,6,2.477431,1303,1303,1,,C,-1
50,6x6_2,random,6,2.191149,1194,1194,1,,C,-1
51,6x6_2,random,6,0.401103,399,399,1,,C,-1
52,6x6_2,random,6,38.004488,5955,5955,1,,C,-1
53,6x6_2,random,6,0.27899,285,285,1,,H,-1
54,6x6_2,random,6,17.844018,3972,3972,1,,G,-1
55,6x6_2,random,6,0.715962,600,600,1,,C,1
